Country_Name,2021 Opioid Dispensed,2020 Opioid Dispensed,2020 Population,2021 Population,2020 Opioid Dispensed per Population,2021 Opioid Dispensed per Population
Alcona,"10,201","10,094","10,192","10,295",0.990384615,0.990869354
Alger,"7,673","7,885","8,842","8,774",0.891766569,0.874515614
Allegan,"64,728","64,890","120,669","121,068",0.537752032,0.534641689
Alpena,"25,484","24,853","28,886","28,939",0.860382192,0.88061094
Antrim,"20,591","21,521","23,458","23,879",0.917426891,0.862305792
Arenac,"15,485","15,366","15,001","15,016",1.024331711,1.031233351
Baraga,"6,490","6,644","8,142","8,286",0.816015721,0.783248853
Barry,"34,076","34,734","62,598","63,141",0.554873958,0.539681031
Bay,"80,403","84,883","103,742","103,108",0.818212489,0.779794002
Benzie,"12,955","13,605","17,990","18,237",0.756253474,0.71036903
Berrien,"100,387","102,882","154,197","153,352",0.667211424,0.654618133
Branch,"27,358","27,825","44,884","45,215",0.619931379,0.605064691
Calhoun,"119,245","120,253","134,200","133,878",0.896073025,0.890698995
Cass,"22,082","23,196","51,559","51,527",0.449892356,0.428552021
Charlevoix,"21,613","22,303","26,041","26,199",0.856457125,0.824955151
Cheboygan,"21,159","21,352","25,587","25,754",0.834486263,0.821581114
Chippewa,"25,215","23,926","36,787","35,849",0.650392802,0.7033669
Clare,"29,143","29,684","30,843","31,131",0.962422592,0.936140824
Clinton,"32,175","33,082","79,170","79,464",0.417860301,0.404900332
Crawford,"12,797","12,488","12,992","13,277",0.961206897,0.963847255
Delta,"32,420","31,380","36,870","36,825",0.851098454,0.880380177
Dickinson,"17,699","17,349","25,904","25,819",0.669742125,0.685502924
Eaton,"79,036","80,507","109,175","108,908",0.737412411,0.725713446
Emmet,"27,482","26,779","34,113","34,297",0.785008648,0.801294574
Genesee,"365,486","372,961","405,777","404,627",0.919127994,0.903266465
Gladwin,"24,389","25,541","25,378","25,475",1.006422886,0.957369971
Gogebic,"7,696","7,491","14,346","14,367",0.522166458,0.535672026
Grand Traverse,"62,061","47,126","95,425","95,969",0.493853812,0.646677573
Gratiot,"25,340","27,205","41,683","41,286",0.652664156,0.613767379
Hillsdale,"26,719","26,841","45,731","45,625",0.586932278,0.585621918
Houghton,"20,514","20,325","37,237","37,507",0.545828074,0.546937905
