GEOID,NAME,Intent,Period,Count,Rate,Data_As_Of,TTM_Date_Range
01,Alabama,All_Homicide,2019,587,12,04/04/2025,
40,Oklahoma,Drug_OD,2019,585,14.8,04/04/2025,
48,Texas,FA_Deaths,2021,4613,15.6,04/04/2025,
01,Alabama,All_Homicide,2020,654,13,04/04/2025,
01,Alabama,All_Homicide,2021,748,14.8,04/04/2025,
01,Alabama,All_Homicide,2022,706,13.9,04/04/2025,
01,Alabama,All_Homicide,2023,717,14,04/04/2025,
01,Alabama,All_Homicide,TTM,655,12.8,04/04/2025,"December, 2023 to November, 2024"
01,Alabama,All_Suicide,2019,804,16.4,04/04/2025,
01,Alabama,All_Suicide,2020,793,15.8,04/04/2025,
32,Nevada,Drug_OD,2019,566,18.4,04/04/2025,
01,Alabama,All_Suicide,2021,827,16.4,04/04/2025,
01,Alabama,All_Suicide,2022,840,16.6,04/04/2025,
01,Alabama,All_Suicide,2023,869,17,04/04/2025,
01,Alabama,All_Suicide,TTM,828,16.2,04/04/2025,"December, 2023 to November, 2024"
01,Alabama,Drug_OD,2019,722,14.7,04/04/2025,
01,Alabama,Drug_OD,2020,983,19.5,04/04/2025,
01,Alabama,Drug_OD,2021,1366,27,04/04/2025,
01,Alabama,Drug_OD,2022,1442,28.4,04/04/2025,
01,Alabama,Drug_OD,2023,1553,30.4,04/04/2025,
01,Alabama,Drug_OD,TTM,1282,25.1,04/04/2025,"October, 2023 to September, 2024"
01,Alabama,FA_Deaths,2019,1076,21.9,04/04/2025,
01,Alabama,FA_Deaths,2020,1141,22.7,04/04/2025,
01,Alabama,FA_Deaths,2021,1315,26,04/04/2025,
01,Alabama,FA_Deaths,2022,1278,25.2,04/04/2025,
01,Alabama,FA_Deaths,2023,1292,25.3,04/04/2025,
01,Alabama,FA_Deaths,TTM,1220,23.9,04/04/2025,"December, 2023 to November, 2024"
01,Alabama,FA_Homicide,2019,486,9.9,04/04/2025,
01,Alabama,FA_Homicide,2020,564,11.2,04/04/2025,
01,Alabama,FA_Homicide,2021,650,12.9,04/04/2025,
01,Alabama,FA_Homicide,2022,624,12.3,04/04/2025,
01,Alabama,FA_Homicide,2023,633,12.4,04/04/2025,
01,Alabama,FA_Homicide,TTM,569,11.1,04/04/2025,"December, 2023 to November, 2024"
01,Alabama,FA_Suicide,2019,543,11.1,04/04/2025,
01,Alabama,FA_Suicide,2020,542,10.8,04/04/2025,
01,Alabama,FA_Suicide,2021,623,12.3,04/04/2025,
01,Alabama,FA_Suicide,2022,614,12.1,04/04/2025,
01,Alabama,FA_Suicide,2023,618,12.1,04/04/2025,
